               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.025699,            0.016334,           0.0071618,             0.99039,             0.99755,             0.99484,             0.88805,            0.015718,           0.0071483,           0.0046085,            0.006667,            0.006667,            0.006667
                 103,             0.02524,            0.017002,           0.0061051,             0.96679,             0.96792,             0.99488,             0.87961,             0.01422,           0.0068538,           0.0045965,            0.006634,            0.006634,            0.006634
                 104,              0.0256,            0.017421,           0.0066847,             0.97629,             0.99359,              0.9929,             0.88731,            0.015239,            0.007167,           0.0044769,            0.006601,            0.006601,            0.006601
                 105,            0.023963,            0.016316,           0.0070999,             0.98313,                   1,             0.99195,             0.88142,            0.015386,           0.0075031,           0.0046351,            0.006568,            0.006568,            0.006568
                 106,            0.024964,              0.0167,           0.0081026,             0.94106,             0.97742,             0.99389,              0.8763,            0.015369,           0.0063105,           0.0044529,            0.006535,            0.006535,            0.006535
                 107,              0.0254,            0.017628,           0.0078794,             0.90287,             0.98718,             0.97565,             0.88323,            0.013819,           0.0062718,            0.004455,            0.006502,            0.006502,            0.006502
                 108,            0.024176,            0.018303,           0.0073148,             0.90585,             0.99107,             0.96886,             0.85915,            0.015403,           0.0065489,           0.0044427,            0.006469,            0.006469,            0.006469
                 109,            0.024113,            0.016594,           0.0061959,             0.90169,             0.99574,             0.95755,             0.83289,            0.017571,           0.0076285,           0.0046309,            0.006436,            0.006436,            0.006436
                 110,            0.024577,            0.017761,           0.0062404,              0.9035,              0.9996,             0.94075,             0.83204,            0.016123,           0.0072753,           0.0046231,            0.006403,            0.006403,            0.006403
                 111,             0.02476,            0.015793,           0.0060473,             0.88719,              0.9982,             0.96466,             0.85533,            0.014694,           0.0066186,            0.004471,             0.00637,             0.00637,             0.00637
                 112,            0.023711,            0.016043,           0.0057573,              0.8892,             0.98642,             0.99042,             0.86436,             0.01517,           0.0063426,           0.0044863,            0.006337,            0.006337,            0.006337
                 113,            0.023691,            0.015931,           0.0061304,             0.94699,             0.95286,             0.99378,              0.8499,            0.015042,           0.0059664,           0.0046544,            0.006304,            0.006304,            0.006304
                 114,            0.022999,            0.016015,           0.0061884,              0.9813,             0.99643,             0.99378,             0.90293,            0.014575,           0.0062424,           0.0046731,            0.006271,            0.006271,            0.006271
                 115,            0.022846,            0.016966,           0.0084523,             0.98622,             0.99241,             0.99475,              0.9023,            0.017825,           0.0064725,           0.0045883,            0.006238,            0.006238,            0.006238
                 116,            0.023508,              0.0167,           0.0077242,              0.9935,             0.98796,             0.99473,             0.90621,            0.014342,           0.0066313,           0.0045088,            0.006205,            0.006205,            0.006205
                 117,            0.023898,            0.017147,           0.0083631,             0.98137,             0.98837,              0.9937,             0.90489,            0.014061,           0.0063317,           0.0045323,            0.006172,            0.006172,            0.006172
                 118,            0.024921,             0.01607,           0.0078391,             0.99662,             0.98483,             0.98979,             0.89349,            0.014833,           0.0059372,           0.0044198,            0.006139,            0.006139,            0.006139
